Data,Descrição,Entrada de Dinheiro (R$),Entrada de bônus (R$),Saída de Dinheiro (R$),Saída de bônus (R$),Saldos em Dinheiro (R$)
04-abr-26 10:27:15,"Jamshedpur FC x Mohun Bagan Super Giants / Mais/Menos de 1,5 Gols Ref: 17753092351252",--,--,-600.00,--,"20,325.75"
03-abr-26 22:14:43,"Cienciano x ADT Tarma / Mais/Menos de 5,5 Gols Ref: 17752652821251",488.97,--,--,--,"20,925.75"
03-abr-26 21:52:46,"LDU x Barcelona (ECU) / 1,5 gols no primeiro tempo Ref: 17752639661250",477.91,--,--,--,"20,436.78"
03-abr-26 19:31:29,"Coquimbo Unido x Cobresal / Mais/Menos de 5,5 Gols Ref: 17752554901249","1,158.87",--,--,--,"19,958.87"
03-abr-26 19:06:39,"Academia Anzoategui FC x Universidad de Venezuela / 1,5 gols no primeiro tempo Ref: 17752539991248",--,--,-600.00,--,"18,800.00"
03-abr-26 18:32:47,"Sporting x Santa Clara / Mais/Menos de 6,5 Gols Ref: 17752519671247",,--,--,-50.00,"19,400.00"
03-abr-26 18:24:43,Deposit Ref: 17752514831246,"10,000.00",--,--,--,"19,400.00"
03-abr-26 18:22:53,"Sporting x Santa Clara / Mais/Menos de 4,5 Gols Ref: 17752513721245",--,--,-600.00,--,"9,400.00"
03-abr-26 17:56:26,Deposit Ref: 17752497861243,"10,000.00",--,--,--,"10,000.00"
02-abr-26 12:05:28,Exchange Bonus Awarded: BREXCSELECT Ref: 17751423271242,,50.00,--,--,0.00
29-mar-26 11:32:36,Withdrawal Ref: 17747947551240,--,--,"-10,000.00",--,0.00
28-mar-26 18:28:56,Withdrawal Ref: 17747333361239,--,--,"-10,000.00",--,"10,000.00"
28-mar-26 18:27:55,Withdrawal Ref: 17747332751238,--,--,"-5,753.53",--,"20,000.00"
28-mar-26 11:56:34,"Ceuta x Cádiz / Mais/Menos de 3,5 Gols Ref: 17747097931237",287.16,--,--,--,"25,753.53"
26-mar-26 19:07:42,"Brasil x França / Mais/Menos de 3,5 Gols Ref: 17745628621236",447.21,--,--,--,"25,466.37"
26-mar-26 18:46:07,"Polônia x Albânia / Mais/Menos de 3,5 Gols Ref: 17745615671235",277.74,--,--,--,"25,019.16"
26-mar-26 18:31:23,"País de Gales x Bósnia / Mais/Menos de 1,5 Gols Ref: 17745606821234",--,--,-500.00,--,"24,741.42"
26-mar-26 17:53:36,"Brasil x França / 2,5 gols no primeiro tempo Ref: 17745584161233",,--,--,-50.00,"25,241.42"
26-mar-26 17:34:54,"Ucrânia x Suécia / 1,5 gols no primeiro tempo Ref: 17745572941232",273.95,--,--,--,"25,241.42"
26-mar-26 15:52:27,"Turquia x Romênia / Mais/Menos de 1,5 Gols Ref: 17745511491230",423.67,--,--,--,"24,967.47"
26-mar-26 13:05:23,Exchange Bonus Awarded: BREXCSELECT Ref: 17745411221229,,50.00,--,--,"24,543.80"
23-mar-26 21:51:59,"Aucas x Orense / 1,5 gols no primeiro tempo Ref: 17743135191228",--,--,-500.00,--,"24,543.80"
23-mar-26 21:39:28,"Metropolitanos x Academia Anzoategui FC / Mais/Menos de 1,5 Gols Ref: 17743127671227",--,--,-500.00,--,"25,043.80"
22-mar-26 21:23:22,"Corinthians x Flamengo / 2,5 gols no primeiro tempo Ref: 17742254021226",217.35,--,--,-50.00,"25,543.80"
22-mar-26 20:37:14,"Vitória x Mirassol / Mais/Menos de 1,5 Gols Ref: 17742226351225",125.66,--,--,--,"25,326.45"
22-mar-26 17:33:26,"Fiorentina x Inter de Milão / 1,5 gols no primeiro tempo Ref: 17742116061223",263.51,--,--,--,"25,200.79"
22-mar-26 11:49:56,"Sudtirol x Frosinone / 1,5 gols no primeiro tempo Ref: 17741909961222",291.86,--,--,--,"24,937.28"
22-mar-26 09:47:43,"Newcastle x Sunderland / 1,5 gols no primeiro tempo Ref: 17741836621221",400.18,--,--,--,"24,645.42"
21-mar-26 21:54:09,"São Paulo x Palmeiras / 1,5 gols no primeiro tempo Ref: 17741408491220",291.86,--,--,--,"24,245.24"
21-mar-26 18:52:39,"Ceará x São Bernardo / 1,5 gols no primeiro tempo Ref: 17741299591219",282.76,--,--,--,"23,953.38"
21-mar-26 14:11:46,"Andorra x Eibar / Mais/Menos de 1,5 Gols Ref: 17741131051218",277.74,--,--,--,"23,670.62"
19-mar-26 19:01:12,"Shakhtar x Lech Poznan / Mais/Menos de 3,5 Gols Ref: 17739576721217",291.86,--,--,--,"23,392.88"
19-mar-26 18:58:56,"Rayo Vallecano x Samsunspor / Mais/Menos de 1,5 Gols Ref: 17739575371216",409.55,--,--,--,"23,101.02"
19-mar-26 15:57:44,"Besiktas x Kasimpasa / Mais/Menos de 3,5 Gols Ref: 17739466631215",404.86,--,--,--,"22,691.47"
19-mar-26 13:05:54,Exchange Bonus Awarded: BREXCSELECT Ref: 17739363531214,,50.00,--,--,"22,286.61"
18-mar-26 21:59:49,"Atlético-GO x Ponte Preta / Mais/Menos de 1,5 Gols Ref: 17738819891213",291.18,--,--,--,"22,286.61"
18-mar-26 18:59:38,Liverpool x Galatasaray / Se qualifica Ref: 17738711781212,--,--,-200.00,--,"21,995.43"
18-mar-26 18:44:06,"Southampton x Norwich / Mais/Menos de 1,5 Gols Ref: 17738702461211",395.43,--,--,--,"22,195.43"
18-mar-26 16:27:32,"Barcelona x Newcastle / Mais/Menos de 8,5 Gols Ref: 17738620521210",--,--,-54.92,--,"21,800.00"
17-mar-26 23:35:16,"Londrina x Operário-PR / Mais/Menos de 1,5 Gols Ref: 17738013161209",300.35,--,--,--,"21,854.92"
17-mar-26 14:43:29,"Fenerbahce x Gaziantep FK / 0,5 gols no primeiro tempo Ref: 17737694091208",367.18,--,--,--,"21,554.57"
16-mar-26 18:57:19,"Portsmouth x Derby / Mais/Menos de 1,5 Gols Ref: 17736982391207",382.05,--,--,--,"21,187.39"
16-mar-26 17:59:01,"Den Bosch x Jong PSV Eindhoven / Mais/Menos de 1,5 Gols Ref: 17736947411206",282.45,--,--,--,"20,805.34"
16-mar-26 15:46:56,"Pogon Szczecin x Korona Kielce / 1,5 gols no primeiro tempo Ref: 17736868161205",217.49,--,--,--,"20,522.89"
15-mar-26 22:36:18,Red Bull Bragantino x São Paulo / Resultado da partida Ref: 17736249771204,6.59,--,--,--,"20,305.40"
15-mar-26 20:33:10,"Palmeiras x Mirassol / Mais/Menos de 1,5 Gols Ref: 17736175901203",320.11,--,--,--,"20,298.81"
15-mar-26 20:33:05,Palmeiras x Mirassol / Resultado da partida Ref: 17736175841202,5.61,--,--,--,"19,978.70"
15-mar-26 18:02:25,Internacional x Bahia / Resultado da partida Ref: 17736085461201,9.41,--,--,--,"19,973.09"
15-mar-26 18:02:21,"Internacional x Bahia / Mais/Menos de 1,5 Gols Ref: 17736085411200",428.38,--,--,--,"19,963.68"
15-mar-26 17:32:01,"New England x Cincinnati / Mais/Menos de 5,5 Gols Ref: 17736067211199",--,--,-90.00,--,"19,535.30"
15-mar-26 14:49:13,"Como x Roma / 1,5 gols no primeiro tempo Ref: 17735969531198",315.47,--,--,--,"19,625.30"
15-mar-26 12:59:02,"Sassuolo x Bologna / Mais/Menos de 1,5 Gols Ref: 17735903411197",384.42,--,--,--,"19,309.83"
15-mar-26 12:02:09,"Kasimpasa x Eyupspor / Mais/Menos de 1,5 Gols Ref: 17735869291196",367.18,--,--,--,"18,925.41"
14-mar-26 19:26:24,"Trujillanos x Metropolitanos / Mais/Menos de 1,5 Gols Ref: 17735271841195",418.97,--,--,--,"18,558.23"
14-mar-26 18:56:26,West Ham x Manchester City / Resultado da partida Ref: 17735253901194,--,--,-10.00,--,"18,139.26"
14-mar-26 18:43:41,"Westerlo x Brugge / Mais/Menos de 3,5 Gols Ref: 17735246201193",432.70,--,--,--,"18,149.26"
14-mar-26 18:23:17,"Hertha Berlin x Bochum / Mais/Menos de 1,5 Gols Ref: 17735233971192",--,--,-500.00,--,"17,716.56"
14-mar-26 16:29:47,Chelsea x Newcastle / Resultado da partida Ref: 17735165871191,--,--,-10.00,--,"18,216.56"
14-mar-26 15:27:21,"Napoli x Lecce / Mais/Menos de 2,5 Gols Ref: 17735128401190",--,--,-10.00,--,"18,226.56"
14-mar-26 14:18:18,"Atlético de Madrid x Getafe / Mais/Menos de 2,5 Gols Ref: 17735086971189",5.93,--,--,--,"18,236.56"
14-mar-26 13:58:01,Sunderland x Brighton / Resultado da partida Ref: 17735074831188,--,--,-10.54,--,"18,230.63"
14-mar-26 13:31:36,Leverkusen x Bayern de Munique / Resultado da partida Ref: 17735058971187,--,--,-13.00,--,"18,241.17"
14-mar-26 12:56:46,Inter de Milão x Atalanta / Resultado da partida Ref: 17735038071186,--,--,-10.00,--,"18,254.17"
12-mar-26 22:22:24,"Grêmio x Red Bull Bragantino / 1,5 gols no primeiro tempo Ref: 17733649441185",305.99,--,--,--,"18,264.17"
12-mar-26 22:04:04,São Paulo x Chapecoense / Resultado da partida Ref: 17733638451184,,--,--,-49.72,"17,958.18"
12-mar-26 18:53:54,"Genk x Freiburg / Mais/Menos de 1,5 Gols Ref: 17733524331183",263.62,--,--,--,"17,958.18"
12-mar-26 15:36:10,"Rijeka x Strasbourg / 1,5 gols no primeiro tempo Ref: 17733405701182",293.75,--,--,--,"17,694.56"
12-mar-26 13:05:33,Exchange Bonus Awarded: BREXCSELECT Ref: 17733315321180,,50.00,--,--,"17,400.81"
11-mar-26 23:32:21,Flamengo x Cruzeiro / Resultado da partida Ref: 17732827411179,--,--,-43.20,--,"17,400.81"
11-mar-26 23:31:06,"Flamengo x Cruzeiro / Mais/Menos de 1,5 Gols Ref: 17732826661178",--,--,-500.00,--,"17,444.01"
11-mar-26 21:01:50,"Atlético-MG x Internacional / Mais/Menos de 1,5 Gols Ref: 17732737111177",428.38,--,--,--,"17,944.01"
11-mar-26 19:50:32,"Atlético-MG x Internacional / 1,5 gols no primeiro tempo Ref: 17732694321176",362.00,--,--,--,"17,515.63"
11-mar-26 18:40:28,"Birmingham x QPR / Mais/Menos de 1,5 Gols Ref: 17732652271175",414.26,--,--,--,"17,153.63"
10-mar-26 18:42:38,"Millwall x Derby / Mais/Menos de 1,5 Gols Ref: 17731789581174",343.10,--,--,--,"16,739.37"
10-mar-26 16:40:41,Galatasaray x Liverpool / Resultado da partida Ref: 17731716411173,470.75,--,--,--,"16,396.27"
09-mar-26 19:15:35,"Tondela x Rio Ave / Mais/Menos de 1,5 Gols Ref: 17730945351172",244.78,--,--,--,"15,925.52"
09-mar-26 18:50:01,"Llaneros FC x Jaguares de Cordoba / 1,5 gols no primeiro tempo Ref: 17730930001171",498.99,--,--,--,"15,680.74"
09-mar-26 18:44:29,"Llaneros FC x Jaguares de Cordoba / 1,5 gols no primeiro tempo Ref: 17730926691170",500.00,--,--,--,"15,181.75"
09-mar-26 18:35:18,"Llaneros FC x Jaguares de Cordoba / 1,5 gols no primeiro tempo Ref: 17730921181169",--,--,-500.00,--,"14,681.75"
09-mar-26 18:26:45,"National Bank x Pyramids / Mais/Menos de 1,5 Gols Ref: 17730916051168",345.10,--,--,--,"15,181.75"
09-mar-26 18:17:31,"West Ham x Brentford / Mais/Menos de 3,5 Gols Ref: 17730910521167",--,--,-500.00,--,"14,836.65"
09-mar-26 18:09:58,"Almería x Leonesa / Mais/Menos de 1,5 Gols Ref: 17730905971166",--,--,-500.00,--,"15,336.65"
08-mar-26 22:37:21,"Novorizontino x Palmeiras / Mais/Menos de 3,5 Gols Ref: 17730202411165",536.65,--,--,--,"15,836.65"
08-mar-26 22:03:45,"Toluca x FC Juarez / Mais/Menos de 3,5 Gols Ref: 17730182241164",--,--,-500.00,--,"15,300.00"
08-mar-26 20:44:48,"Novorizontino x Palmeiras / Mais/Menos de 0,5 Gols Ref: 17730134871163",--,--,-41.74,--,"15,800.00"
08-mar-26 20:18:16,"Cruzeiro x Atlético-MG / Mais/Menos de 1,5 Gols Ref: 17730118961162",341.48,--,--,--,"15,841.74"
08-mar-26 18:52:28,"Valencia x Alavés / Mais/Menos de 3,5 Gols Ref: 17730067481161",--,--,-500.00,--,"15,500.26"
08-mar-26 17:00:11,"Benfica x Porto / Mais/Menos de 3,5 Gols Ref: 17730000111160",--,--,-387.00,--,"16,000.26"
08-mar-26 16:22:29,"Leganés x Eibar / Mais/Menos de 1,5 Gols Ref: 17729977491159",296.85,--,--,--,"16,387.26"
08-mar-26 15:41:38,"Vukovar x Rijeka / Mais/Menos de 1,5 Gols Ref: 17729952981158",461.33,--,--,--,"16,090.41"
08-mar-26 15:20:49,"Sevilla x Rayo Vallecano / 1,5 gols no primeiro tempo Ref: 17729940491157",281.00,--,--,--,"15,629.08"
08-mar-26 15:14:02,"Carrarese x Palermo / Mais/Menos de 1,5 Gols Ref: 17729936421156",324.82,--,--,--,"15,348.08"
08-mar-26 15:09:36,"Lille x Lorient / Mais/Menos de 1,5 Gols Ref: 17729933761155",--,--,-600.00,--,"15,023.26"
08-mar-26 14:55:53,"Lask Linz x RZ Pellets WAC / Mais/Menos de 3,5 Gols Ref: 17729925521154",--,--,-500.00,--,"15,623.26"
07-mar-26 19:01:06,"Toulouse x Olympique de Marselha / Mais/Menos de 1,5 Gols Ref: 17729208661153","1,026.52",--,--,--,"16,123.26"
07-mar-26 18:56:22,"Athletic de Bilbao x Barcelona / Mais/Menos de 1,5 Gols Ref: 17729205821152",528.49,--,--,--,"15,096.74"
07-mar-26 18:42:58,"Union St. Gilloise x Genk / Mais/Menos de 3,5 Gols Ref: 17729197771151",348.35,--,--,--,"14,568.25"
07-mar-26 18:29:11,"Athletic de Bilbao x Barcelona / Mais/Menos de 0,5 Gols Ref: 17729189511150",,--,--,-50.00,"14,219.90"
07-mar-26 18:20:29,"Lugano x Luzern / Mais/Menos de 3,5 Gols Ref: 17729184291149",--,--,-500.00,--,"14,219.90"
07-mar-26 17:37:25,"Saint-Étienne x Red Star / Mais/Menos de 1,5 Gols Ref: 17729158451148",--,--,-500.00,--,"14,719.90"
07-mar-26 17:03:57,"Braga x Sporting / Mais/Menos de 3,5 Gols Ref: 17729138371147",--,--,-500.00,--,"15,219.90"
07-mar-26 16:33:33,"Atlético de Madrid x Real Sociedad / Mais/Menos de 5,5 Gols Ref: 17729120121146",338.94,--,--,--,"15,719.90"
07-mar-26 16:21:07,"Colônia x Borussia Dortmund / Mais/Menos de 2,5 Gols Ref: 17729112671145",367.18,--,--,--,"15,380.96"
07-mar-26 16:05:28,"Besiktas x Galatasaray / Mais/Menos de 1,5 Gols Ref: 17729103281144",781.44,--,--,--,"15,013.78"
07-mar-26 15:37:56,"Atalanta x Udinese / Mais/Menos de 3,5 Gols Ref: 17729086751143",--,--,-500.00,--,"14,232.34"
07-mar-26 15:33:06,"Servette x FC Zurich / Mais/Menos de 1,5 Gols Ref: 17729083851142",--,--,-500.00,--,"14,732.34"
07-mar-26 15:17:29,"Piast Gliwice x Zaglebie Lubin / Mais/Menos de 3,5 Gols Ref: 17729074481141",--,--,-500.00,--,"15,232.34"
07-mar-26 14:03:37,"Venezia x Reggiana / 1,5 gols no primeiro tempo Ref: 17729030161140",282.87,--,--,--,"15,732.34"
07-mar-26 13:56:14,"Oud-Heverlee Leuven x Westerlo / Mais/Menos de 1,5 Gols Ref: 17729025731139",564.90,--,--,--,"15,449.47"
07-mar-26 13:45:22,"Sheffield Utd x West Brom / Mais/Menos de 1,5 Gols Ref: 17729019211138",--,--,-500.00,--,"14,884.57"
07-mar-26 13:16:25,"Freiburg x Leverkusen / Mais/Menos de 5,5 Gols Ref: 17729001851137",--,--,-500.00,--,"15,384.57"
07-mar-26 11:11:18,"Mansfield x Arsenal / Mais/Menos de 3,5 Gols Ref: 17728926791136",536.65,--,--,--,"15,884.57"
07-mar-26 10:24:08,"Mohammedan SC x Bengaluru FC / Mais/Menos de 3,5 Gols Ref: 17728898471134",231.86,--,--,--,"15,347.92"
06-mar-26 19:57:00,"La Serena x Unión La Calera / Mais/Menos de 2,5 Gols Ref: 17728378201133",--,--,-500.00,--,"15,116.06"
06-mar-26 19:26:55,"Atlético Grau x FC Cajamarca / Mais/Menos de 1,5 Gols Ref: 17728360151132",316.25,--,--,--,"15,616.06"
06-mar-26 18:58:14,"Preston x Oxford Utd / Mais/Menos de 4,5 Gols Ref: 17728342931131",449.99,--,--,--,"15,299.81"
06-mar-26 18:51:46,"Waterford x Bohemians / Mais/Menos de 1,5 Gols Ref: 17728339061130",390.72,--,--,--,"14,849.82"
06-mar-26 18:47:06,"PSG x Monaco / Mais/Menos de 4,5 Gols Ref: 17728336261129",480.16,--,--,--,"14,459.10"
06-mar-26 18:37:05,"Zamalek x Al Ittihad (EGY) / Mais/Menos de 1,5 Gols Ref: 17728330251128",283.76,--,--,--,"13,978.94"
06-mar-26 18:35:00,"Napoli x Torino / Mais/Menos de 2,5 Gols Ref: 17728329001127",--,--,-500.00,--,"13,695.18"
06-mar-26 18:31:20,"Al-Masry x Ismaily / Mais/Menos de 1,5 Gols Ref: 17728326801126",--,--,-500.00,--,"14,195.18"
06-mar-26 18:23:40,"Galway Utd x Dundalk / Mais/Menos de 3,5 Gols Ref: 17728322201125",--,--,-500.00,--,"14,695.18"
06-mar-26 18:23:35,"Cádiz x Zaragoza / Mais/Menos de 1,5 Gols Ref: 17728322161124",431.93,--,--,--,"15,195.18"
06-mar-26 18:09:40,"Lechia Gdansk x Jagiellonia Bialystock / Mais/Menos de 1,5 Gols Ref: 17728313791123",--,--,-500.00,--,"14,763.25"
06-mar-26 17:53:01,"Pau x Bastia / Mais/Menos de 3,5 Gols Ref: 17728303811122",--,--,-500.00,--,"15,263.25"
06-mar-26 17:47:18,"Al Ahli x Al-Ittihad / Mais/Menos de 3,5 Gols Ref: 17728300381121",--,--,-500.00,--,"15,763.25"
05-mar-26 19:05:37,"Lyon x Lens / Mais/Menos de 3,5 Gols Ref: 17727483371120",--,--,-500.00,--,"16,263.25"
05-mar-26 19:01:15,"Tottenham x Crystal Palace / Mais/Menos de 4,5 Gols Ref: 17727480761119",464.13,--,--,--,"16,763.25"
05-mar-26 18:27:49,"FC Basel x Grasshoppers Zurich / Mais/Menos de 1,5 Gols Ref: 17727460691118",334.23,--,--,--,"16,299.12"
05-mar-26 18:25:07,"Thun x St Gallen / Mais/Menos de 3,5 Gols Ref: 17727459061117",--,--,-500.00,--,"15,964.89"
05-mar-26 13:07:50,Exchange Bonus Awarded: BREXCSELECT Ref: 17727268701116,,50.00,--,--,"16,464.89"
04-mar-26 18:24:56,"Lugano x Sion / Mais/Menos de 3,5 Gols Ref: 17726594961115",273.84,--,--,--,"16,464.89"
04-mar-26 18:01:53,"AZ Alkmaar x SC Telstar / Mais/Menos de 3,5 Gols Ref: 17726581131114",380.94,--,--,--,"16,191.05"
04-mar-26 17:19:53,"Brighton x Arsenal / 1,5 gols no primeiro tempo Ref: 17726555921113",421.30,--,--,--,"15,810.11"
04-mar-26 17:02:28,"Manchester City x Nottingham Forest / 0,5 gols no primeiro tempo Ref: 17726545481112",377.27,--,--,--,"15,388.81"
04-mar-26 16:52:17,"Kifisia x PAOK / Mais/Menos de 3,5 Gols Ref: 17726539371111",--,--,-500.00,--,"15,011.54"
04-mar-26 08:52:10,"FC Seoul x Kobe / Mais/Menos de 1,5 Gols Ref: 17726251291110",1.92,--,--,--,"15,511.54"
04-mar-26 06:03:33,"Macarthur x Central Coast Mariners / 0,5 gols no primeiro tempo Ref: 17726150131109",--,--,-50.00,--,"15,509.62"
03-mar-26 20:57:50,"Sarmiento de Junin x Estudiantes Rio Cuarto / Mais/Menos de 1,5 Gols Ref: 17725822701108",302.40,--,--,--,"15,559.62"
03-mar-26 19:55:12,"Sporting x Porto / Mais/Menos de 1,5 Gols Ref: 17725785121107",329.72,--,--,--,"15,257.22"
03-mar-26 19:03:38,"Barcelona x Atlético de Madrid / Mais/Menos de 3,5 Gols Ref: 17725754181106",391.65,--,--,--,"14,927.50"
03-mar-26 18:35:09,"Leeds x Sunderland / Mais/Menos de 1,5 Gols Ref: 17725737091105",456.63,--,--,--,"14,535.85"
03-mar-26 17:41:25,"Reggiana x Sudtirol / Mais/Menos de 1,5 Gols Ref: 17725704851104",--,--,-500.00,--,"14,079.22"
02-mar-26 17:57:48,"Emmen x Jong FC Utrecht / Mais/Menos de 1,5 Gols Ref: 17724850681103",462.68,--,--,--,"14,579.22"
02-mar-26 17:42:47,"Real Madrid x Getafe / 0,5 gols no primeiro tempo Ref: 17724841671102",386.01,--,--,--,"14,116.54"
01-mar-26 22:30:14,"Palmeiras x São Paulo / Mais/Menos de 3,5 Gols Ref: 17724150131101",404.84,--,--,--,"13,730.53"
01-mar-26 21:10:36,"Instituto x Union Santa Fe / Mais/Menos de 3,5 Gols Ref: 17724102351100",325.27,--,--,--,"13,325.69"
01-mar-26 20:40:29,"Palmeiras x São Paulo / Mais/Menos de 0,5 Gols Ref: 17724084281099",--,--,-315.00,--,"13,000.42"
01-mar-26 20:02:44,"Colo Colo x Universidad De Chile / Mais/Menos de 1,5 Gols Ref: 17724061641098",314.82,--,--,--,"13,315.42"
01-mar-26 16:45:28,Deposit Ref: 17723943281097,"1,500.00",--,--,--,"13,000.60"
01-mar-26 16:43:46,"Panathinaikos x Aris / Mais/Menos de 3,5 Gols Ref: 17723942251096",--,--,-563.00,--,"11,500.60"
01-mar-26 16:42:50,"Comerciantes Unidos x Atlético Grau / Mais/Menos de 3,5 Gols Ref: 17723941701095",--,--,-500.00,--,"12,063.60"
01-mar-26 16:19:44,"Betis x Sevilla / Mais/Menos de 3,5 Gols Ref: 17723927831094",--,--,-500.00,--,"12,563.60"
01-mar-26 14:56:37,"SønderjyskE x OB / Mais/Menos de 1,5 Gols Ref: 17723877971093",339.20,--,--,--,"13,063.60"
01-mar-26 12:57:51,"Brighton x Nottingham Forest / Mais/Menos de 3,5 Gols Ref: 17723806711092",340.54,--,--,--,"12,724.40"
01-mar-26 11:51:38,"Panserraikos x Olympiakos / 0,5 gols no primeiro tempo Ref: 17723766981091",--,--,-500.00,--,"12,383.86"
28-fev-26 20:42:56,"Minnesota Utd x Cincinnati / Mais/Menos de 1,5 Gols Ref: 17723221761089",376.60,--,--,--,"12,883.86"
28-fev-26 19:00:28,"Le Havre x PSG / Mais/Menos de 1,5 Gols Ref: 17723160281088",--,--,-200.00,--,"12,507.26"
28-fev-26 13:09:49,"Liverpool x West Ham / Mais/Menos de 3,5 Gols Ref: 17722949881087",,--,--,-50.00,"12,707.26"
27-fev-26 17:59:15,"Al-Ittihad x Al-Khaleej Saihat / Mais/Menos de 1,5 Gols Ref: 17722259551085",466.04,--,--,--,"12,707.26"
27-fev-26 17:44:00,"Porto x Arouca / Mais/Menos de 2,5 Gols Ref: 17722250401084",233.48,--,--,--,"12,241.22"
27-fev-26 16:51:08,"Monza x Entella / Mais/Menos de 1,5 Gols Ref: 17722218681083",--,--,-397.71,--,"12,007.74"
27-fev-26 16:04:17,"Istanbulspor x 76 Igdir Belediyespor / Mais/Menos de 3,5 Gols Ref: 17722190571082",401.08,--,--,--,"12,405.45"
27-fev-26 15:29:02,"Universitatea Cluj x Otelul Galati / 1,5 gols no primeiro tempo Ref: 17722169411081",--,--,-270.00,--,"12,004.37"
26-fev-26 21:02:36,"Santos x Vasco da Gama / Mais/Menos de 3,5 Gols Ref: 17721505561080",381.04,--,--,--,"12,274.37"
26-fev-26 18:51:46,"Celta de Vigo x PAOK / Mais/Menos de 1,5 Gols Ref: 17721427081079",292.58,--,--,--,"11,893.33"
26-fev-26 16:19:21,"Al Gharafa x Al Rayyan / 1,5 gols no primeiro tempo Ref: 17721335611078",299.40,--,--,--,"11,600.75"
26-fev-26 13:08:44,Exchange Bonus Awarded: BREXCSELECT Ref: 17721221231077,,50.00,--,--,"11,301.35"
25-fev-26 21:49:36,Deposit Ref: 17720669761076,300.00,--,--,--,"11,301.35"
25-fev-26 21:44:41,"Cruzeiro x Corinthians / Mais/Menos de 1,5 Gols Ref: 17720666811075",--,--,-300.00,--,"11,001.35"
25-fev-26 21:35:19,"Coritiba x São Paulo / Mais/Menos de 1,5 Gols Ref: 17720661181074",125.69,--,--,--,"11,301.35"
25-fev-26 19:01:00,"Real Madrid x Benfica / Mais/Menos de 3,5 Gols Ref: 17720568591073",381.62,--,--,--,"11,175.66"
25-fev-26 18:29:51,"Al-Masry x Modern Sport FC / Mais/Menos de 1,5 Gols Ref: 17720549911072",291.86,--,--,--,"10,794.04"
24-fev-26 18:52:36,"Inter de Milão x Bodo/Glimt / Mais/Menos de 3,5 Gols Ref: 17719699561071",173.18,--,--,--,"10,502.18"
24-fev-26 18:44:12,"Bradford x Rotherham / Mais/Menos de 1,5 Gols Ref: 17719694511070",158.17,--,--,--,"10,329.00"
24-fev-26 18:39:01,"Wrexham x Portsmouth / Mais/Menos de 3,5 Gols Ref: 17719691411069",135.58,--,--,--,"10,170.83"
24-fev-26 17:57:08,"Willem II x ADO Den Haag / Mais/Menos de 1,5 Gols Ref: 17719666281068",527.40,--,--,--,"10,035.25"
24-fev-26 17:47:10,"Inter de Milão x Bodo/Glimt / 0,5 gols no primeiro tempo Ref: 17719660301067",--,--,-500.00,--,"9,507.85"
24-fev-26 16:29:35,"Atlético de Madrid x Brugge / Mais/Menos de 4,5 Gols Ref: 17719613751066",--,--,-200.00,--,"10,007.85"
24-fev-26 16:19:13,"Atlético de Madrid x Brugge / Mais/Menos de 3,5 Gols Ref: 17719607531065",--,--,-250.00,--,"10,207.85"
23-fev-26 19:58:39,"Cúcuta Deportivo x Tolima / Mais/Menos de 5,5 Gols Ref: 17718875191064",191.10,--,--,--,"10,457.85"
23-fev-26 18:56:47,"Everton x Manchester United / Mais/Menos de 1,5 Gols Ref: 17718838081063",137.46,--,--,--,"10,266.75"
23-fev-26 18:56:44,"Famalicão x Casa Pia / Mais/Menos de 1,5 Gols Ref: 17718838041062",--,--,-200.00,--,"10,129.29"
23-fev-26 18:42:00,"Bologna x Udinese / Mais/Menos de 1,5 Gols Ref: 17718829201061",273.05,--,--,--,"10,329.29"
23-fev-26 18:31:40,"Smouha x Al Ahly Cairo / Mais/Menos de 1,5 Gols Ref: 17718823001060",555.50,--,--,--,"10,056.24"
23-fev-26 17:46:56,"Al-Fateh (KSA) x Al-Okhdood / Mais/Menos de 1,5 Gols Ref: 17718796161059",--,--,-500.00,--,"9,500.74"
23-fev-26 17:32:32,"Alavés x Girona / 1,5 gols no primeiro tempo Ref: 17718787521058",--,--,-295.00,--,"10,000.74"
23-fev-26 16:28:31,"Fiorentina x Pisa / Mais/Menos de 1,5 Gols Ref: 17718749111057",253.87,--,--,--,"10,295.74"
23-fev-26 13:55:33,"Csikszereda x Hermannstadt / Mais/Menos de 3,5 Gols Ref: 17718657331056",338.10,--,--,--,"10,041.87"
22-fev-26 19:59:29,"Santa Fé x Junior Barranquilla / Mais/Menos de 3,5 Gols Ref: 17718011691055",335.93,--,--,--,"9,703.77"
22-fev-26 19:28:44,"Porto x Rio Ave / Mais/Menos de 1,5 Gols Ref: 17717993241054",--,--,-200.00,--,"9,367.84"
22-fev-26 17:35:16,"Roma x Cremonese / 0,5 gols no primeiro tempo Ref: 17717925151053",--,--,-200.00,--,"9,567.84"
22-fev-26 17:10:24,"Westerlo x Charleroi / Mais/Menos de 2,5 Gols Ref: 17717910241052",--,--,-200.00,--,"9,767.84"
22-fev-26 16:48:08,"Novorizontino x Santos / 0,5 gols no primeiro tempo Ref: 17717896881051",--,--,-200.00,--,"9,967.84"
22-fev-26 15:53:25,"Milan x Parma / Mais/Menos de 0,5 Gols Ref: 17717864051050",203.36,--,--,--,"10,167.84"
22-fev-26 15:46:31,"Westerlo x Charleroi / 0,5 gols no primeiro tempo Ref: 17717859911049",--,--,-200.00,--,"9,964.48"
